score,physics,p-ranking,history,h-ranking
691,31,31,0,0
690,7,38,0,0
689,11,49,0,0
688,6,55,0,0
687,12,67,0,0
686,6,73,0,0
685,12,85,0,0
684,15,100,0,0
683,9,109,0,0
682,13,122,0,0
681,20,142,0,0
680,21,163,0,0
679,19,182,0,0
678,30,212,0,0
677,33,245,0,0
676,20,265,0,0
675,29,294,0,0
674,32,326,0,0
673,30,356,0,0
672,28,384,0,0
671,32,416,0,0
670,37,453,0,0
669,55,508,0,0
668,40,548,0,0
667,60,608,0,0
666,58,666,0,0
665,59,725,0,0
664,60,785,30,30
663,60,845,2,32
662,62,907,7,39
661,62,969,4,43
660,74,1043,5,48
659,67,1110,8,56
658,71,1181,11,67
657,85,1266,11,78
656,94,1360,10,88
655,103,1463,8,96
654,95,1558,12,108
653,102,1660,13,121
652,92,1752,10,131
651,110,1862,16,147
650,122,1984,9,156
649,126,2110,14,170
648,126,2236,18,188
647,132,2368,17,205
646,146,2514,19,224
645,129,2643,15,239
644,143,2786,21,260
643,155,2941,9,269
642,165,3106,21,290
641,165,3271,33,323
640,179,3450,32,355
639,165,3615,26,381
638,170,3785,29,410
637,190,3975,29,439
636,212,4187,36,475
635,211,4398,23,498
634,195,4593,24,522
633,203,4796,34,556
632,213,5009,33,589
631,218,5227,37,626
630,222,5449,43,669
629,237,5686,43,712
628,211,5897,45,757
627,253,6150,48,805
626,280,6430,36,841
625,268,6698,60,901
624,270,6968,55,956
623,254,7222,49,1005
622,291,7513,39,1044
621,292,7805,50,1094
620,284,8089,61,1155
619,299,8388,68,1223
618,315,8703,73,1296
617,301,9004,54,1350
616,335,9339,64,1414
615,339,9678,82,1496
614,342,10020,61,1557
613,340,10360,76,1633
612,358,10718,66,1699
611,353,11071,67,1766
610,410,11481,72,1838
609,402,11883,82,1920
608,404,12287,79,1999
607,413,12700,73,2072
606,451,13151,100,2172
605,436,13587,79,2251
604,419,14006,80,2331
603,377,14383,101,2432
602,421,14804,94,2526
601,427,15231,101,2627
600,456,15687,94,2721
599,448,16135,66,2787
598,454,16589,93,2880
597,450,17039,106,2986
596,468,17507,123,3109
595,497,18004,96,3205
594,446,18450,124,3329
593,528,18978,122,3451
592,534,19512,107,3558
591,545,20057,123,3681
590,550,20607,127,3808
589,552,21159,130,3938
588,532,21691,118,4056
587,541,22232,127,4183
586,593,22825,150,4333
585,528,23353,135,4468
584,594,23947,126,4594
583,572,24519,150,4744
582,574,25093,157,4901
581,584,25677,148,5049
580,644,26321,143,5192
579,628,26949,133,5325
578,622,27571,181,5506
577,666,28237,138,5644
576,654,28891,146,5790
575,625,29516,154,5944
574,628,30144,169,6113
573,698,30842,206,6319
572,653,31495,160,6479
571,640,32135,164,6643
570,668,32803,168,6811
569,653,33456,173,6984
568,738,34194,194,7178
567,716,34910,186,7364
566,717,35627,217,7581
565,688,36315,189,7770
564,763,37078,205,7975
563,718,37796,203,8178
562,804,38600,202,8380
561,766,39366,210,8590
560,758,40124,218,8808
559,727,40851,226,9034
558,774,41625,237,9271
557,806,42431,226,9497
556,734,43165,243,9740
555,811,43976,241,9981
554,818,44794,242,10223
553,833,45627,247,10470
552,809,46436,266,10736
551,859,47295,242,10978
550,882,48177,258,11236
549,896,49073,241,11477
548,846,49919,263,11740
547,879,50798,261,12001
546,815,51613,245,12246
545,883,52496,241,12487
544,847,53343,242,12729
543,924,54267,256,12985
542,867,55134,304,13289
541,930,56064,296,13585
540,853,56917,281,13866
539,912,57829,290,14156
538,951,58780,293,14449
537,950,59730,286,14735
536,923,60653,306,15041
535,998,61651,293,15334
534,962,62613,299,15633
533,971,63584,316,15949
532,1033,64617,304,16253
531,949,65566,307,16560
530,944,66510,326,16886
529,1045,67555,296,17182
528,1029,68584,291,17473
527,1058,69642,358,17831
526,983,70625,325,18156
525,1045,71670,388,18544
524,1051,72721,324,18868
523,1053,73774,369,19237
522,1060,74834,359,19596
521,1101,75935,355,19951
520,1047,76982,378,20329
519,1096,78078,421,20750
518,1120,79198,386,21136
517,1167,80365,379,21515
516,1103,81468,373,21888
515,1120,82588,334,22222
514,1151,83739,420,22642
513,1174,84913,430,23072
512,1106,86019,417,23489
511,1118,87137,407,23896
510,1169,88306,454,24350
509,1201,89507,408,24758
508,1180,90687,415,25173
507,1181,91868,453,25626
506,1234,93102,458,26084
505,1155,94257,420,26504
504,1188,95445,447,26951
503,1218,96663,436,27387
502,1261,97924,454,27841
501,1242,99166,464,28305
500,1199,100365,450,28755
499,1215,101580,466,29221
498,1229,102809,462,29683
497,1240,104049,453,30136
496,1245,105294,468,30604
495,1292,106586,459,31063
494,1311,107897,493,31556
493,1277,109174,516,32072
492,1276,110450,486,32558
491,1372,111822,525,33083
490,1234,113056,489,33572
489,1280,114336,497,34069
488,1258,115594,503,34572
487,1236,116830,542,35114
486,1322,118152,503,35617
485,1328,119480,512,36129
484,1296,120776,533,36662
483,1343,122119,526,37188
482,1311,123430,548,37736
481,1380,124810,532,38268
480,1367,126177,516,38784
479,1358,127535,540,39324
478,1322,128857,601,39925
477,1365,130222,581,40506
476,1301,131523,577,41083
475,1373,132896,560,41643
474,1344,134240,583,42226
473,1342,135582,566,42792
472,1377,136959,553,43345
471,1396,138355,556,43901
470,1352,139707,596,44497
469,1401,141108,572,45069
468,1371,142479,570,45639
467,1360,143839,597,46236
466,1367,145206,599,46835
465,1455,146661,587,47422
464,1402,148063,598,48020
463,1414,149477,614,48634
462,1468,150945,568,49202
461,1417,152362,639,49841
460,1436,153798,612,50453
459,1460,155258,604,51057
458,1434,156692,650,51707
457,1389,158081,605,52312
456,1413,159494,640,52952
455,1425,160919,597,53549
454,1390,162309,654,54203
453,1404,163713,645,54848
452,1412,165125,646,55494
451,1383,166508,647,56141
