score,physics,p-ranking,history,h-ranking
453,1260,148600,662,61950
452,1259,149859,636,62586
451,1244,151103,722,63308
450,1243,152346,625,63933
449,1260,153606,663,64596
448,1166,154772,681,65277
447,1147,155919,570,65847
446,1206,157125,660,66507
445,1231,158356,669,67176
444,1203,159559,637,67813
443,1260,160819,599,68412
442,1231,162050,640,69052
441,1251,163301,612,69664
440,1281,164582,641,70305
439,1263,165845,693,70998
438,1213,167058,630,71628
437,1324,168382,594,72222
436,1260,169642,649,72871
435,1202,170844,639,73510
434,1276,172120,668,74178
433,1291,173411,653,74831
432,1250,174661,643,75474
431,1188,175849,615,76089
430,1226,177075,684,76773
429,1204,178279,645,77418
428,1222,179501,688,78106
427,1189,180690,633,78739
426,1220,181910,659,79398
425,1186,183096,640,80038
424,1238,184334,602,80640
423,1237,185571,652,81292
422,1230,186801,673,81965
421,1136,187937,599,82564
420,1196,189133,635,83199
419,1206,190339,643,83842
418,1222,191561,638,84480
417,1149,192710,647,85127
416,1196,193906,657,85784
415,1155,195061,610,86394
414,1201,196262,683,87077
413,1165,197427,690,87767
412,1097,198524,699,88466
411,1090,199614,681,89147
410,1079,200693,673,89820
409,1178,201871,625,90445
408,1165,203036,704,91149
407,1033,204069,698,91847
406,1119,205188,702,92549
405,1102,206290,703,93252
404,1191,207481,664,93916
403,1101,208582,656,94572
402,1031,209613,647,95219
401,1091,210704,650,95869
400,1091,211795,634,96503
399,1042,212837,712,97215
398,1037,213874,696,97911
397,1006,214880,704,98615
396,1024,215904,694,99309
395,1018,216922,675,99984
394,1039,217961,735,100719
393,992,218953,711,101430
392,1017,219970,640,102070
391,1001,220971,676,102746
390,956,221927,688,103434
389,993,222920,710,104144
388,1020,223940,727,104871
387,1003,224943,781,105652
386,939,225882,717,106369
385,949,226831,726,107095
384,963,227794,719,107814
383,965,228759,684,108498
382,961,229720,716,109214
381,952,230672,725,109939
380,918,231590,745,110684
379,894,232484,746,111430
378,922,233406,729,112159
377,937,234343,792,112951
376,894,235237,735,113686
375,857,236094,692,114378
374,844,236938,713,115091
373,874,237812,723,115814
372,889,238701,774,116588
371,827,239528,758,117346
370,809,240337,717,118063
369,786,241123,743,118806
368,856,241979,804,119610
367,776,242755,776,120386
366,795,243550,719,121105
365,808,244358,739,121844
364,801,245159,763,122607
363,760,245919,800,123407
362,752,246671,807,124214
361,760,247431,754,124968
360,760,248191,755,125723
359,759,248950,768,126491
358,728,249678,806,127297
357,753,250431,747,128044
356,718,251149,676,128720
355,706,251855,781,129501
354,727,252582,770,130271
353,716,253298,772,131043
352,698,253996,770,131813
351,632,254628,746,132559
350,619,255247,772,133331
349,690,255937,770,134101
348,676,256613,762,134863
347,626,257239,748,135611
346,628,257867,782,136393
345,671,258538,723,137116
344,572,259110,694,137810
343,584,259694,757,138567
342,606,260300,712,139279
341,605,260905,747,140026
340,576,261481,774,140800
339,592,262073,731,141531
338,559,262632,738,142269
337,587,263219,783,143052
336,541,263760,725,143777
335,555,264315,698,144475
334,496,264811,782,145257
333,540,265351,737,145994
332,539,265890,726,146720
331,536,266426,727,147447
330,523,266949,667,148114
329,508,267457,732,148846
328,502,267959,684,149530
327,496,268455,716,150246
326,472,268927,708,150954
325,494,269421,693,151647
324,486,269907,673,152320
323,457,270364,712,153032
322,473,270837,656,153688
321,486,271323,670,154358
320,457,271780,703,155061
319,426,272206,661,155722
318,463,272669,620,156342
317,445,273114,604,156946
316,455,273569,669,157615
315,418,273987,643,158258
314,424,274411,652,158910
313,415,274826,629,159539
312,426,275252,580,160119
311,403,275655,611,160730
310,392,276047,638,161368
309,394,276441,608,161976
308,382,276823,540,162516
307,402,277225,587,163103
306,390,277615,550,163653
305,355,277970,528,164181
304,365,278335,576,164757
303,355,278690,509,165266
302,356,279046,577,165843
301,359,279405,524,166367
300,372,279777,529,166896
299,355,280132,500,167396
298,342,280474,520,167916
297,342,280816,526,168442
296,352,281168,472,168914
295,379,281547,492,169406
294,312,281859,500,169906
293,325,282184,456,170362
292,334,282518,434,170796
291,333,282851,480,171276
290,310,283161,455,171731
289,274,283435,414,172145
288,324,283759,442,172587
287,303,284062,444,173031
286,279,284341,453,173484
285,262,284603,412,173896
284,287,284890,425,174321
283,284,285174,411,174732
282,288,285462,346,175078
281,262,285724,377,175455
280,276,286000,365,175820
279,271,286271,382,176202
278,275,286546,331,176533
277,249,286795,340,176873
276,265,287060,357,177230
275,245,287305,342,177572
274,232,287537,324,177896
273,262,287799,338,178234
272,245,288044,321,178555
271,236,288280,296,178851
270,248,288528,302,179153
269,210,288738,303,179456
268,209,288947,288,179744
267,212,289159,284,180028
266,238,289397,297,180325
265,216,289613,269,180594
264,196,289809,280,180874
263,214,290023,281,181155
262,206,290229,259,181414
261,222,290451,253,181667
260,189,290640,267,181934
259,183,290823,259,182193
258,169,290992,271,182464
257,168,291160,232,182696
256,165,291325,241,182937
255,190,291515,217,183154
254,144,291659,252,183406
253,156,291815,219,183625
252,154,291969,231,183856
251,182,292151,224,184080
250,156,292307,228,184308
249,167,292474,197,184505
248,149,292623,215,184720
247,142,292765,207,184927
246,142,292907,204,185131
245,157,293064,203,185334
244,137,293201,192,185526
243,138,293339,203,185729
242,119,293458,198,185927
241,127,293585,170,186097
240,134,293719,208,186305
239,115,293834,204,186509
238,106,293940,193,186702
237,120,294060,168,186870
236,110,294170,183,187053
235,119,294289,189,187242
234,115,294404,168,187410
233,87,294491,164,187574
232,105,294596,176,187750
231,88,294684,181,187931
230,100,294784,160,188091
229,90,294874,142,188233
228,81,294955,170,188403
227,90,295045,162,188565
226,77,295122,173,188738
225,78,295200,171,188909
224,88,295288,159,189068
223,79,295367,172,189240
222,79,295446,169,189409
221,74,295520,160,189569
220,60,295580,152,189721
219,81,295661,153,189874
218,66,295727,137,190011
217,68,295795,123,190134
216,75,295870,135,190269
215,64,295934,149,190418
214,68,296002,128,190546
213,43,296045,132,190678
212,62,296107,129,190807
211,53,296160,128,190935
210,53,296213,106,191041
209,60,296273,123,191164
208,50,296323,109,191273
207,47,296370,125,191398
206,43,296413,121,191519
205,50,296463,93,191612
204,49,296512,95,191707
203,46,296558,106,191813
202,36,296594,107,191920
201,44,296638,98,192018
200,36,296674,77,192095
199,41,296715,104,192199
198,39,296754,78,192277
197,38,296792,95,192372
196,23,296815,68,192440
195,39,296854,72,192512
194,36,296890,67,192579
193,32,296922,74,192653
192,34,296956,67,192720
191,30,296986,69,192789
190,26,297012,57,192846
189,24,297036,69,192915
188,23,297059,76,192991
187,17,297076,68,193059
186,19,297095,60,193119
185,32,297127,70,193189
184,20,297147,57,193246
183,26,297173,49,193295
182,27,297200,66,193361
181,18,297218,46,193407
180,22,297240,48,193455
179,20,297260,50,193505
178,13,297273,47,193552
177,16,297289,46,193598
176,20,297309,40,193638
175,10,297319,40,193678
174,16,297335,42,193720
173,19,297354,43,193763
172,21,297375,49,193812
171,15,297390,41,193853
170,18,297408,29,193882
169,11,297419,24,193906
168,15,297434,28,193934
167,19,297453,32,193966
166,11,297464,21,193987
165,7,297471,31,194018
164,12,297483,27,194045
163,7,297490,21,194066
162,11,297501,25,194091
161,5,297506,34,194125
160,5,297511,27,194152
159,9,297520,19,194171
158,5,297525,25,194196
157,9,297534,15,194211
156,5,297539,24,194235
155,3,297542,20,194255
154,7,297549,19,194274
153,7,297556,19,194293
152,5,297561,17,194310
151,7,297568,15,194325
150,6,297574,13,194338
149,10,297584,22,194360
148,3,297587,12,194372
147,2,297589,20,194392
146,7,297596,15,194407
145,5,297601,17,194424
144,6,297607,9,194433
143,4,297611,11,194444
142,5,297616,9,194453
141,4,297620,9,194462
140,2,297622,7,194469
