score,physics,p-ranking,history,h-ranking
680,34,34,0,0
679,6,40,0,0
678,6,46,0,0
677,9,55,0,0
676,5,60,0,0
675,4,64,0,0
674,8,72,0,0
673,10,82,0,0
672,11,93,0,0
671,12,105,0,0
670,13,118,0,0
669,19,137,0,0
668,14,151,0,0
667,22,173,0,0
666,10,183,0,0
665,17,200,0,0
664,18,218,0,0
663,13,231,0,0
662,26,257,0,0
661,24,281,0,0
660,32,313,0,0
659,29,342,0,0
658,24,366,0,0
657,35,401,0,0
656,35,436,0,0
655,41,477,32,32
654,36,513,3,35
653,47,560,6,41
652,48,608,7,48
651,50,658,5,53
650,52,710,6,59
649,54,764,3,62
648,73,837,6,68
647,49,886,6,74
646,63,949,9,83
645,67,1016,10,93
644,82,1098,4,97
643,78,1176,10,107
642,66,1242,10,117
641,92,1334,9,126
640,94,1428,17,143
639,97,1525,17,160
638,79,1604,15,175
637,85,1689,24,199
636,87,1776,13,212
635,113,1889,18,230
634,135,2024,25,255
633,132,2156,23,278
632,127,2283,29,307
631,135,2418,20,327
630,126,2544,24,351
629,149,2693,35,386
628,153,2846,36,422
627,162,3008,26,448
626,170,3178,35,483
625,160,3338,34,517
624,168,3506,33,550
623,199,3705,48,598
622,195,3900,51,649
621,173,4073,51,700
620,203,4276,25,725
619,182,4458,41,766
618,229,4687,49,815
617,208,4895,55,870
616,212,5107,55,925
615,216,5323,50,975
614,246,5569,54,1029
613,250,5819,58,1087
612,230,6049,56,1143
611,294,6343,82,1225
610,245,6588,74,1299
609,299,6887,60,1359
608,284,7171,65,1424
607,299,7470,88,1512
606,315,7785,75,1587
605,291,8076,73,1660
604,314,8390,95,1755
603,340,8730,84,1839
602,335,9065,92,1931
601,380,9445,97,2028
600,378,9823,102,2130
599,389,10212,87,2217
598,377,10589,107,2324
597,407,10996,121,2445
596,403,11399,134,2579
595,422,11821,118,2697
594,415,12236,114,2811
593,440,12676,99,2910
592,449,13125,115,3025
591,458,13583,130,3155
590,421,14004,153,3308
589,458,14462,118,3426
588,488,14950,99,3525
587,489,15439,147,3672
586,521,15960,122,3794
585,509,16469,152,3946
584,563,17032,162,4108
583,504,17536,139,4247
582,529,18065,151,4398
581,578,18643,180,4578
580,562,19205,169,4747
579,590,19795,156,4903
578,585,20380,159,5062
577,556,20936,176,5238
576,600,21536,167,5405
575,607,22143,196,5601
574,586,22729,181,5782
573,627,23356,193,5975
572,628,23984,190,6165
571,650,24634,206,6371
570,635,25269,215,6586
569,626,25895,214,6800
568,634,26529,218,7018
567,691,27220,196,7214
566,674,27894,224,7438
565,674,28568,211,7649
564,714,29282,231,7880
563,751,30033,239,8119
562,731,30764,236,8355
561,731,31495,203,8558
560,752,32247,252,8810
559,822,33069,251,9061
558,753,33822,267,9328
557,764,34586,240,9568
556,820,35406,267,9835
555,785,36191,301,10136
554,757,36948,267,10403
553,777,37725,292,10695
552,859,38584,295,10990
551,837,39421,270,11260
550,835,40256,310,11570
549,817,41073,287,11857
548,818,41891,295,12152
547,897,42788,352,12504
546,840,43628,299,12803
545,866,44494,291,13094
544,887,45381,325,13419
543,897,46278,335,13754
542,916,47194,365,14119
541,912,48106,327,14446
540,896,49002,335,14781
539,947,49949,340,15121
538,934,50883,368,15489
537,942,51825,342,15831
536,932,52757,374,16205
535,937,53694,353,16558
534,880,54574,379,16937
533,926,55500,366,17303
532,1040,56540,412,17715
531,1004,57544,396,18111
530,974,58518,419,18530
529,986,59504,387,18917
528,946,60450,429,19346
527,985,61435,477,19823
526,955,62390,472,20295
525,1012,63402,414,20709
524,1048,64450,427,21136
523,1025,65475,396,21532
522,1000,66475,464,21996
521,1077,67552,443,22439
520,1059,68611,446,22885
519,1031,69642,424,23309
518,1027,70669,459,23768
517,1063,71732,505,24273
516,1030,72762,446,24719
515,1074,73836,486,25205
514,1003,74839,501,25706
513,1039,75878,531,26237
512,1058,76936,514,26751
511,1180,78116,524,27275
510,1201,79317,537,27812
509,1124,80441,486,28298
508,1134,81575,532,28830
507,1045,82620,546,29376
506,1147,83767,508,29884
505,1113,84880,517,30401
504,1162,86042,564,30965
503,1149,87191,543,31508
502,1145,88336,526,32034
501,1132,89468,550,32584
500,1162,90630,585,33169
499,1153,91783,569,33738
498,1179,92962,553,34291
497,1169,94131,575,34866
496,1157,95288,584,35450
495,1230,96518,589,36039
494,1168,97686,600,36639
493,1181,98867,546,37185
492,1223,100090,599,37784
491,1232,101322,570,38354
490,1178,102500,601,38955
489,1248,103748,574,39529
488,1214,104962,601,40130
487,1209,106171,570,40700
486,1272,107443,624,41324
485,1271,108714,574,41898
484,1245,109959,583,42481
483,1174,111133,579,43060
482,1191,112324,606,43666
481,1223,113547,633,44299
480,1249,114796,631,44930
479,1244,116040,598,45528
478,1219,117259,590,46118
477,1263,118522,586,46704
476,1230,119752,613,47317
475,1219,120971,618,47935
474,1248,122219,569,48504
473,1263,123482,627,49131
472,1288,124770,686,49817
471,1250,126020,607,50424
470,1233,127253,614,51038
469,1241,128494,671,51709
468,1265,129759,664,52373
467,1210,130969,631,53004
466,1266,132235,609,53613
465,1331,133566,678,54291
464,1293,134859,594,54885
463,1199,136058,662,55547
462,1197,137255,630,56177
461,1258,138513,641,56818
460,1252,139765,645,57463
459,1243,141008,621,58084
458,1242,142250,599,58683
457,1250,143500,658,59341
456,1301,144801,654,59995
455,1290,146091,655,60650
454,1249,147340,638,61288
